Time,clock.secs,clock.nsecs
402.557,402,557000000
402.558,402,558000000
402.559,402,559000000
402.56,402,560000000
402.561,402,561000000
402.562,402,562000000
402.563,402,563000000
402.563,402,564000000
402.565,402,565000000
402.566,402,566000000
402.567,402,567000000
402.568,402,568000000
402.569,402,569000000
402.57,402,570000000
402.571,402,571000000
402.572,402,572000000
402.573,402,573000000
402.574,402,574000000
402.575,402,575000000
402.576,402,576000000
402.577,402,577000000
402.578,402,578000000
402.579,402,579000000
402.58,402,580000000
402.581,402,581000000
402.582,402,582000000
402.583,402,583000000
402.584,402,584000000
402.585,402,585000000
402.586,402,586000000
402.586,402,587000000
402.588,402,588000000
402.589,402,589000000
402.59,402,590000000
402.591,402,591000000
402.592,402,592000000
402.593,402,593000000
402.594,402,594000000
402.595,402,595000000
402.596,402,596000000
402.597,402,597000000
402.598,402,598000000
402.599,402,599000000
402.6,402,600000000
402.601,402,601000000
402.602,402,602000000
402.603,402,603000000
402.604,402,604000000
402.605,402,605000000
402.606,402,606000000
402.607,402,607000000
402.608,402,608000000
402.609,402,609000000
402.61,402,610000000
402.611,402,611000000
402.612,402,612000000
402.613,402,613000000
402.614,402,614000000
402.615,402,615000000
402.616,402,616000000
402.617,402,617000000
402.618,402,618000000
402.619,402,619000000
402.62,402,620000000
402.621,402,621000000
402.622,402,622000000
402.623,402,623000000
402.624,402,624000000
402.625,402,625000000
402.626,402,626000000
402.627,402,627000000
402.628,402,628000000
402.629,402,629000000
402.63,402,630000000
402.631,402,631000000
402.632,402,632000000
402.633,402,633000000
402.634,402,634000000
402.635,402,635000000
402.636,402,636000000
402.637,402,637000000
402.638,402,638000000
402.639,402,639000000
402.64,402,640000000
402.641,402,641000000
402.642,402,642000000
402.643,402,643000000
402.643,402,644000000
402.645,402,645000000
402.646,402,646000000
402.647,402,647000000
402.648,402,648000000
402.649,402,649000000
402.65,402,650000000
402.651,402,651000000
402.652,402,652000000
402.653,402,653000000
402.654,402,654000000
402.655,402,655000000
402.656,402,656000000
402.657,402,657000000
402.658,402,658000000
402.659,402,659000000
402.66,402,660000000
402.661,402,661000000
402.662,402,662000000
402.663,402,663000000
402.664,402,664000000
402.665,402,665000000
402.666,402,666000000
402.667,402,667000000
402.668,402,668000000
402.669,402,669000000
402.67,402,670000000
402.671,402,671000000
402.672,402,672000000
402.673,402,673000000
402.673,402,674000000
402.675,402,675000000
402.676,402,676000000
402.677,402,677000000
402.678,402,678000000
402.679,402,679000000
402.68,402,680000000
402.681,402,681000000
402.682,402,682000000
402.683,402,683000000
402.684,402,684000000
402.685,402,685000000
402.686,402,686000000
402.687,402,687000000
402.688,402,688000000
402.689,402,689000000
402.69,402,690000000
402.691,402,691000000
402.692,402,692000000
402.693,402,693000000
402.694,402,694000000
402.695,402,695000000
402.696,402,696000000
402.697,402,697000000
402.698,402,698000000
402.699,402,699000000
402.7,402,700000000
402.701,402,701000000
402.702,402,702000000
402.703,402,703000000
402.704,402,704000000
402.705,402,705000000
402.706,402,706000000
402.707,402,707000000
402.708,402,708000000
402.709,402,709000000
402.71,402,710000000
402.711,402,711000000
402.712,402,712000000
402.713,402,713000000
402.714,402,714000000
402.715,402,715000000
402.716,402,716000000
402.717,402,717000000
402.718,402,718000000
402.719,402,719000000
402.72,402,720000000
402.721,402,721000000
402.722,402,722000000
402.723,402,723000000
402.724,402,724000000
402.725,402,725000000
402.726,402,726000000
402.727,402,727000000
402.728,402,728000000
402.729,402,729000000
402.73,402,730000000
402.731,402,731000000
402.733,402,732000000
402.733,402,733000000
402.734,402,734000000
402.735,402,735000000
402.736,402,736000000
402.737,402,737000000
402.738,402,738000000
402.739,402,739000000
402.739,402,740000000
402.741,402,741000000
402.742,402,742000000
402.743,402,743000000
402.744,402,744000000
402.745,402,745000000
402.746,402,746000000
402.747,402,747000000
402.748,402,748000000
402.749,402,749000000
402.75,402,750000000
402.751,402,751000000
402.752,402,752000000
402.753,402,753000000
402.754,402,754000000
402.755,402,755000000
402.756,402,756000000
402.757,402,757000000
402.758,402,758000000
402.759,402,759000000
402.76,402,760000000
402.761,402,761000000
402.762,402,762000000
402.763,402,763000000
402.764,402,764000000
402.765,402,765000000
402.766,402,766000000
402.767,402,767000000
402.768,402,768000000
402.769,402,769000000
402.77,402,770000000
402.771,402,771000000
402.772,402,772000000
402.773,402,773000000
402.774,402,774000000
402.775,402,775000000
402.776,402,776000000
402.777,402,777000000
402.778,402,778000000
402.779,402,779000000
402.78,402,780000000
402.781,402,781000000
402.782,402,782000000
402.783,402,783000000
402.784,402,784000000
402.785,402,785000000
402.786,402,786000000
402.787,402,787000000
402.788,402,788000000
402.789,402,789000000
402.79,402,790000000
402.791,402,791000000
402.792,402,792000000
402.793,402,793000000
402.795,402,794000000
402.795,402,795000000
402.796,402,796000000
402.798,402,797000000
402.798,402,798000000
402.799,402,799000000
402.8,402,800000000
402.801,402,801000000
402.802,402,802000000
402.803,402,803000000
402.804,402,804000000
402.805,402,805000000
402.805,402,806000000
402.807,402,807000000
402.807,402,808000000
402.809,402,809000000
402.81,402,810000000
402.811,402,811000000
402.812,402,812000000
402.812,402,813000000
402.813,402,814000000
402.815,402,815000000
402.816,402,816000000
402.817,402,817000000
402.818,402,818000000
402.819,402,819000000
402.82,402,820000000
402.821,402,821000000
402.822,402,822000000
402.823,402,823000000
402.824,402,824000000
402.825,402,825000000
402.826,402,826000000
402.827,402,827000000
402.828,402,828000000
402.829,402,829000000
402.83,402,830000000
402.831,402,831000000
402.832,402,832000000
402.833,402,833000000
402.834,402,834000000
402.835,402,835000000
402.836,402,836000000
402.837,402,837000000
402.838,402,838000000
402.838,402,839000000
402.842,402,840000000
402.842,402,841000000
402.842,402,842000000
402.842,402,843000000
402.843,402,844000000
402.845,402,845000000
402.846,402,846000000
402.846,402,847000000
402.848,402,848000000
402.849,402,849000000
402.85,402,850000000
402.851,402,851000000
402.851,402,852000000
402.853,402,853000000
402.853,402,854000000
402.855,402,855000000
402.856,402,856000000
402.857,402,857000000
402.858,402,858000000
402.859,402,859000000
402.86,402,860000000
402.861,402,861000000
402.862,402,862000000
402.863,402,863000000
402.864,402,864000000
402.865,402,865000000
402.866,402,866000000
402.867,402,867000000
402.868,402,868000000
402.869,402,869000000
402.87,402,870000000
402.871,402,871000000
402.872,402,872000000
402.873,402,873000000
402.873,402,874000000
402.874,402,875000000
402.876,402,876000000
402.877,402,877000000
402.878,402,878000000
402.879,402,879000000
402.88,402,880000000
402.881,402,881000000
402.882,402,882000000
402.883,402,883000000
402.884,402,884000000
402.885,402,885000000
402.886,402,886000000
402.887,402,887000000
402.888,402,888000000
402.889,402,889000000
402.89,402,890000000
402.891,402,891000000
402.892,402,892000000
402.893,402,893000000
402.894,402,894000000
402.895,402,895000000
402.896,402,896000000
402.896,402,897000000
402.898,402,898000000
402.899,402,899000000
402.9,402,900000000
402.901,402,901000000
402.901,402,902000000
402.903,402,903000000
402.904,402,904000000
402.905,402,905000000
402.906,402,906000000
402.907,402,907000000
402.908,402,908000000
402.909,402,909000000
402.91,402,910000000
402.911,402,911000000
402.912,402,912000000
402.913,402,913000000
402.914,402,914000000
402.914,402,915000000
402.916,402,916000000
402.917,402,917000000
402.917,402,918000000
402.919,402,919000000
402.92,402,920000000
402.921,402,921000000
402.922,402,922000000
402.922,402,923000000
402.924,402,924000000
402.925,402,925000000
402.926,402,926000000
402.927,402,927000000
402.928,402,928000000
402.929,402,929000000
402.93,402,930000000
402.931,402,931000000
402.932,402,932000000
402.933,402,933000000
402.933,402,934000000
402.935,402,935000000
402.936,402,936000000
402.937,402,937000000
402.938,402,938000000
402.939,402,939000000
402.94,402,940000000
402.941,402,941000000
402.942,402,942000000
402.943,402,943000000
402.944,402,944000000
402.945,402,945000000
402.946,402,946000000
402.947,402,947000000
402.948,402,948000000
402.948,402,949000000
402.95,402,950000000
402.951,402,951000000
402.952,402,952000000
402.953,402,953000000
402.955,402,954000000
402.955,402,955000000
402.955,402,956000000
402.957,402,957000000
402.958,402,958000000
402.959,402,959000000
402.96,402,960000000
402.961,402,961000000
402.962,402,962000000
402.963,402,963000000
402.964,402,964000000
402.965,402,965000000
402.966,402,966000000
402.967,402,967000000
402.968,402,968000000
402.969,402,969000000
402.97,402,970000000
402.971,402,971000000
402.972,402,972000000
402.973,402,973000000
402.974,402,974000000
402.975,402,975000000
402.976,402,976000000
402.977,402,977000000
402.978,402,978000000
402.979,402,979000000
402.98,402,980000000
402.981,402,981000000
402.982,402,982000000
402.983,402,983000000
402.983,402,984000000
402.985,402,985000000
402.986,402,986000000
402.987,402,987000000
402.988,402,988000000
402.989,402,989000000
402.99,402,990000000
402.991,402,991000000
402.992,402,992000000
402.993,402,993000000
402.993,402,994000000
402.995,402,995000000
402.996,402,996000000
402.997,402,997000000
402.998,402,998000000
402.999,402,999000000
403.0,403,0
403.001,403,1000000
403.002,403,2000000
403.003,403,3000000
403.004,403,4000000
403.005,403,5000000
403.006,403,6000000
403.007,403,7000000
403.008,403,8000000
403.009,403,9000000
403.01,403,10000000
403.011,403,11000000
403.012,403,12000000
403.013,403,13000000
403.014,403,14000000
403.015,403,15000000
403.016,403,16000000
403.017,403,17000000
403.018,403,18000000
403.019,403,19000000
403.02,403,20000000
403.021,403,21000000
403.022,403,22000000
403.023,403,23000000
403.024,403,24000000
403.025,403,25000000
403.026,403,26000000
403.027,403,27000000
403.028,403,28000000
403.029,403,29000000
403.03,403,30000000
403.031,403,31000000
403.032,403,32000000
403.033,403,33000000
403.034,403,34000000
403.035,403,35000000
403.036,403,36000000
403.037,403,37000000
403.038,403,38000000
403.039,403,39000000
403.04,403,40000000
403.041,403,41000000
403.042,403,42000000
403.043,403,43000000
403.044,403,44000000
403.045,403,45000000
403.046,403,46000000
403.047,403,47000000
403.048,403,48000000
403.048,403,49000000
403.05,403,50000000
403.051,403,51000000
403.052,403,52000000
403.053,403,53000000
403.054,403,54000000
403.055,403,55000000
403.056,403,56000000
403.057,403,57000000
403.058,403,58000000
403.059,403,59000000
403.06,403,60000000
403.061,403,61000000
403.062,403,62000000
403.063,403,63000000
403.064,403,64000000
403.065,403,65000000
403.066,403,66000000
403.067,403,67000000
403.068,403,68000000
403.069,403,69000000
403.07,403,70000000
403.071,403,71000000
403.072,403,72000000
403.073,403,73000000
403.074,403,74000000
403.075,403,75000000
403.076,403,76000000
403.077,403,77000000
403.078,403,78000000
403.079,403,79000000
403.08,403,80000000
403.081,403,81000000
403.082,403,82000000
403.083,403,83000000
403.084,403,84000000
403.085,403,85000000
403.086,403,86000000
403.087,403,87000000
403.088,403,88000000
403.089,403,89000000
403.09,403,90000000
403.091,403,91000000
403.092,403,92000000
403.093,403,93000000
403.094,403,94000000
403.095,403,95000000
403.096,403,96000000
403.097,403,97000000
403.098,403,98000000
403.099,403,99000000
403.1,403,100000000
403.101,403,101000000
403.102,403,102000000
403.103,403,103000000
403.104,403,104000000
403.105,403,105000000
403.106,403,106000000
403.107,403,107000000
403.108,403,108000000
403.109,403,109000000
403.11,403,110000000
403.111,403,111000000
403.112,403,112000000
403.112,403,113000000
403.114,403,114000000
403.115,403,115000000
403.116,403,116000000
403.117,403,117000000
403.118,403,118000000
403.119,403,119000000
403.12,403,120000000
403.121,403,121000000
403.122,403,122000000
403.123,403,123000000
403.124,403,124000000
403.125,403,125000000
403.126,403,126000000
403.126,403,127000000
403.128,403,128000000
403.129,403,129000000
403.13,403,130000000
403.131,403,131000000
403.132,403,132000000
403.133,403,133000000
403.134,403,134000000
403.135,403,135000000
403.136,403,136000000
403.137,403,137000000
403.138,403,138000000
403.139,403,139000000
403.14,403,140000000
403.141,403,141000000
403.142,403,142000000
403.143,403,143000000
403.144,403,144000000
403.145,403,145000000
403.146,403,146000000
403.147,403,147000000
403.148,403,148000000
403.149,403,149000000
403.15,403,150000000
403.151,403,151000000
403.152,403,152000000
403.153,403,153000000
403.154,403,154000000
403.155,403,155000000
403.156,403,156000000
403.157,403,157000000
403.158,403,158000000
403.159,403,159000000
403.16,403,160000000
403.161,403,161000000
403.162,403,162000000
403.163,403,163000000
403.164,403,164000000
403.165,403,165000000
403.166,403,166000000
403.167,403,167000000
403.168,403,168000000
403.169,403,169000000
403.17,403,170000000
403.171,403,171000000
403.172,403,172000000
403.173,403,173000000
403.174,403,174000000
403.175,403,175000000
403.176,403,176000000
403.177,403,177000000
403.178,403,178000000
403.179,403,179000000
403.18,403,180000000
403.181,403,181000000
403.182,403,182000000
403.183,403,183000000
403.184,403,184000000
403.185,403,185000000
403.186,403,186000000
403.187,403,187000000
403.188,403,188000000
403.189,403,189000000
403.19,403,190000000
403.191,403,191000000
403.192,403,192000000
403.193,403,193000000
403.194,403,194000000
403.195,403,195000000
403.195,403,196000000
403.197,403,197000000
