Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
408.295,0.1,0.0,0.0,0.0,0.0,0.0
408.545,0.1,0.0,0.0,0.0,0.0,0.0
408.795,0.1,0.0,0.0,0.0,0.0,0.0
409.046,0.1,0.0,0.0,0.0,0.0,0.0
409.295,0.1,0.0,0.0,0.0,0.0,0.0
409.546,0.1,0.0,0.0,0.0,0.0,0.0
409.795,0.1,0.0,0.0,0.0,0.0,0.0
410.045,0.1,0.0,0.0,0.0,0.0,0.0
410.295,0.1,0.0,0.0,0.0,0.0,0.0
410.545,0.1,0.0,0.0,0.0,0.0,0.0
410.795,0.1,0.0,0.0,0.0,0.0,0.0
411.045,0.1,0.0,0.0,0.0,0.0,0.0
411.295,0.1,0.0,0.0,0.0,0.0,0.0
411.545,0.1,0.0,0.0,0.0,0.0,0.0
411.795,0.1,0.0,0.0,0.0,0.0,0.0
412.045,0.1,0.0,0.0,0.0,0.0,0.0
412.295,0.1,0.0,0.0,0.0,0.0,0.0
412.546,0.1,0.0,0.0,0.0,0.0,0.0
412.796,0.1,0.0,0.0,0.0,0.0,0.0
413.045,0.1,0.0,0.0,0.0,0.0,0.0
413.295,0.1,0.0,0.0,0.0,0.0,0.0
413.545,0.1,0.0,0.0,0.0,0.0,0.0
413.795,0.1,0.0,0.0,0.0,0.0,0.0
414.045,0.1,0.0,0.0,0.0,0.0,0.0
414.295,0.1,0.0,0.0,0.0,0.0,0.0
414.545,0.1,0.0,0.0,0.0,0.0,0.0
414.795,0.1,0.0,0.0,0.0,0.0,0.0
415.045,0.1,0.0,0.0,0.0,0.0,0.0
415.295,0.1,0.0,0.0,0.0,0.0,0.0
415.546,0.1,0.0,0.0,0.0,0.0,0.0
415.795,0.1,0.0,0.0,0.0,0.0,0.0
416.046,0.1,0.0,0.0,0.0,0.0,0.0
416.295,0.1,0.0,0.0,0.0,0.0,0.0
416.545,0.1,0.0,0.0,0.0,0.0,0.0
416.795,0.1,0.0,0.0,0.0,0.0,0.0
417.046,0.1,0.0,0.0,0.0,0.0,0.0
417.296,0.1,0.0,0.0,0.0,0.0,0.0
417.545,0.1,0.0,0.0,0.0,0.0,0.0
417.8,0.1,0.0,0.0,0.0,0.0,0.0
418.046,0.1,0.0,0.0,0.0,0.0,0.0
418.296,0.1,0.0,0.0,0.0,0.0,0.0
418.545,0.1,0.0,0.0,0.0,0.0,0.0
418.795,0.1,0.0,0.0,0.0,0.0,0.0
419.045,0.1,0.0,0.0,0.0,0.0,0.0
419.295,0.1,0.0,0.0,0.0,0.0,0.0
419.545,0.1,0.0,0.0,0.0,0.0,0.0
419.795,0.1,0.0,0.0,0.0,0.0,0.0
420.046,0.1,0.0,0.0,0.0,0.0,0.0
420.295,0.1,0.0,0.0,0.0,0.0,0.0
420.546,0.1,0.0,0.0,0.0,0.0,0.0
420.796,0.1,0.0,0.0,0.0,0.0,0.0
421.045,0.1,0.0,0.0,0.0,0.0,0.0
421.295,0.1,0.0,0.0,0.0,0.0,0.0
421.546,0.1,0.0,0.0,0.0,0.0,0.0
421.795,0.1,0.0,0.0,0.0,0.0,0.0
422.045,0.1,0.0,0.0,0.0,0.0,0.0
422.295,0.1,0.0,0.0,0.0,0.0,0.0
422.546,0.1,0.0,0.0,0.0,0.0,0.0
422.795,0.1,0.0,0.0,0.0,0.0,0.0
423.045,0.1,0.0,0.0,0.0,0.0,0.0
423.295,0.1,0.0,0.0,0.0,0.0,0.0
423.545,0.1,0.0,0.0,0.0,0.0,0.0
423.795,0.1,0.0,0.0,0.0,0.0,0.0
424.045,0.1,0.0,0.0,0.0,0.0,0.0
424.296,0.1,0.0,0.0,0.0,0.0,0.0
424.545,0.1,0.0,0.0,0.0,0.0,0.0
424.796,0.1,0.0,0.0,0.0,0.0,0.0
425.045,0.1,0.0,0.0,0.0,0.0,0.0
425.295,0.1,0.0,0.0,0.0,0.0,0.0
425.546,0.1,0.0,0.0,0.0,0.0,0.0
425.795,0.1,0.0,0.0,0.0,0.0,0.0
426.045,0.1,0.0,0.0,0.0,0.0,0.0
426.295,0.1,0.0,0.0,0.0,0.0,0.0
426.545,0.1,0.0,0.0,0.0,0.0,0.0
426.795,0.1,0.0,0.0,0.0,0.0,0.0
427.046,0.1,0.0,0.0,0.0,0.0,0.0
