Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
408.366,0.1,0.0,0.0,0.0,0.0,0.0
408.466,0.1,0.0,0.0,0.0,0.0,0.0
408.566,0.1,0.0,0.0,0.0,0.0,0.0
408.666,0.1,0.0,0.0,0.0,0.0,0.0
408.766,0.1,0.0,0.0,0.0,0.0,0.0
408.866,0.1,0.0,0.0,0.0,0.0,0.0
408.966,0.1,0.0,0.0,0.0,0.0,0.0
409.066,0.1,0.0,0.0,0.0,0.0,0.0
409.166,0.1,0.0,0.0,0.0,0.0,0.0
409.266,0.1,0.0,0.0,0.0,0.0,0.0
409.366,0.1,0.0,0.0,0.0,0.0,0.0
409.466,0.1,0.0,0.0,0.0,0.0,0.0
409.566,0.1,0.0,0.0,0.0,0.0,0.0
409.666,0.1,0.0,0.0,0.0,0.0,0.0
409.766,0.1,0.0,0.0,0.0,0.0,0.0
409.866,0.1,0.0,0.0,0.0,0.0,0.0
409.966,0.1,0.0,0.0,0.0,0.0,0.0
410.066,0.1,0.0,0.0,0.0,0.0,0.0
410.166,0.1,0.0,0.0,0.0,0.0,0.0
410.266,0.1,0.0,0.0,0.0,0.0,0.0
410.366,0.1,0.0,0.0,0.0,0.0,0.0
410.466,0.1,0.0,0.0,0.0,0.0,0.0
410.566,0.1,0.0,0.0,0.0,0.0,0.0
410.666,0.1,0.0,0.0,0.0,0.0,0.0
410.766,0.1,0.0,0.0,0.0,0.0,0.0
410.866,0.1,0.0,0.0,0.0,0.0,0.0
410.966,0.1,0.0,0.0,0.0,0.0,0.0
411.066,0.1,0.0,0.0,0.0,0.0,0.0
411.166,0.1,0.0,0.0,0.0,0.0,0.0
411.266,0.1,0.0,0.0,0.0,0.0,0.0
411.366,0.1,0.0,0.0,0.0,0.0,0.0
411.466,0.1,0.0,0.0,0.0,0.0,0.0
411.566,0.1,0.0,0.0,0.0,0.0,0.0
411.666,0.1,0.0,0.0,0.0,0.0,0.0
411.766,0.1,0.0,0.0,0.0,0.0,0.0
411.866,0.1,0.0,0.0,0.0,0.0,0.0
411.966,0.1,0.0,0.0,0.0,0.0,0.0
412.066,0.1,0.0,0.0,0.0,0.0,0.0
412.166,0.1,0.0,0.0,0.0,0.0,0.0
412.266,0.1,0.0,0.0,0.0,0.0,0.0
412.367,0.1,0.0,0.0,0.0,0.0,0.0
412.466,0.1,0.0,0.0,0.0,0.0,0.0
412.566,0.1,0.0,0.0,0.0,0.0,0.0
412.667,0.1,0.0,0.0,0.0,0.0,0.0
412.766,0.1,0.0,0.0,0.0,0.0,0.0
412.866,0.1,0.0,0.0,0.0,0.0,0.0
412.966,0.1,0.0,0.0,0.0,0.0,0.0
413.066,0.1,0.0,0.0,0.0,0.0,0.0
413.166,0.1,0.0,0.0,0.0,0.0,0.0
413.267,0.1,0.0,0.0,0.0,0.0,0.0
413.366,0.1,0.0,0.0,0.0,0.0,0.0
413.466,0.1,0.0,0.0,0.0,0.0,0.0
413.566,0.1,0.0,0.0,0.0,0.0,0.0
413.666,0.1,0.0,0.0,0.0,0.0,0.0
413.766,0.1,0.0,0.0,0.0,0.0,0.0
413.866,0.1,0.0,0.0,0.0,0.0,0.0
413.966,0.1,0.0,0.0,0.0,0.0,0.0
414.066,0.1,0.0,0.0,0.0,0.0,0.0
414.166,0.1,0.0,0.0,0.0,0.0,0.0
414.266,0.1,0.0,0.0,0.0,0.0,0.0
414.366,0.1,0.0,0.0,0.0,0.0,0.0
414.466,0.1,0.0,0.0,0.0,0.0,0.0
414.566,0.1,0.0,0.0,0.0,0.0,0.0
414.666,0.1,0.0,0.0,0.0,0.0,0.0
414.766,0.1,0.0,0.0,0.0,0.0,0.0
414.866,0.1,0.0,0.0,0.0,0.0,0.0
414.966,0.1,0.0,0.0,0.0,0.0,0.0
415.066,0.1,0.0,0.0,0.0,0.0,0.0
415.166,0.1,0.0,0.0,0.0,0.0,0.0
415.266,0.1,0.0,0.0,0.0,0.0,0.0
415.366,0.1,0.0,0.0,0.0,0.0,0.0
415.466,0.1,0.0,0.0,0.0,0.0,0.0
415.566,0.1,0.0,0.0,0.0,0.0,0.0
415.666,0.1,0.0,0.0,0.0,0.0,0.0
415.766,0.1,0.0,0.0,0.0,0.0,0.0
415.866,0.1,0.0,0.0,0.0,0.0,0.0
415.966,0.1,0.0,0.0,0.0,0.0,0.0
416.067,0.1,0.0,0.0,0.0,0.0,0.0
416.167,0.1,0.0,0.0,0.0,0.0,0.0
416.266,0.1,0.0,0.0,0.0,0.0,0.0
416.366,0.1,0.0,0.0,0.0,0.0,0.0
416.466,0.1,0.0,0.0,0.0,0.0,0.0
416.566,0.1,0.0,0.0,0.0,0.0,0.0
416.666,0.1,0.0,0.0,0.0,0.0,0.0
416.766,0.1,0.0,0.0,0.0,0.0,0.0
416.866,0.1,0.0,0.0,0.0,0.0,0.0
416.966,0.1,0.0,0.0,0.0,0.0,0.0
417.066,0.1,0.0,0.0,0.0,0.0,0.0
417.166,0.1,0.0,0.0,0.0,0.0,0.0
417.266,0.1,0.0,0.0,0.0,0.0,0.0
417.366,0.1,0.0,0.0,0.0,0.0,0.0
417.466,0.1,0.0,0.0,0.0,0.0,0.0
417.566,0.1,0.0,0.0,0.0,0.0,0.0
