Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
402.3,20105,402,300000000,base,-3.8987067276365513e-05,-0.0021288510926169217,-0.04157293381017047,0.9991332031553396,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,0.011992241040475452,0.0010453671221755717,-0.001123219000546895,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,0.035268724097782006,-0.006135403712064787,9.804274524825374,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
402.32,20106,402,320000000,base,-3.926664227365193e-05,-0.0021286966709553167,-0.04157292575752588,0.9991332038084677,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,-0.000623941554453829,0.013324670804313057,0.00017104257629716683,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,0.03421504993969377,-0.001711363826177766,9.81409269558038,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
402.34,20107,402,340000000,base,-3.918919714370069e-05,-0.002128810397314311,-0.04157291851774565,0.9991332038704429,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,0.008242518154646307,0.006490895001422288,-0.0012337086434781905,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,0.04474151509573522,-0.00041692368538204195,9.81265945462577,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
402.36,20108,402,360000000,base,-3.9010916192173636e-05,-0.002128859470977693,-0.04157291149557782,0.9991332040650446,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,0.00927294763547695,0.009935771530844155,0.00017511336894404108,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,0.045038164238062436,0.015754848114884007,9.806010911466457,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
402.38,20109,402,380000000,base,-3.918549053276053e-05,-0.002128920918238647,-0.04157290369616592,0.9991332042518106,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,-0.0021512215558389916,0.005108995305989585,0.0015924795919752758,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,0.02865737862111591,-0.002670840905109338,9.802195259084758,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
402.399,20110,402,400000000,base,-3.9356852778590704e-05,-0.0021289316249800453,-0.041572895900058256,0.9991332045466498,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,0.0005339883790073082,0.0016178797527802158,0.00463031325856153,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,0.04462189733941881,-0.0006939637514218999,9.800071243033177,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
402.42,20111,402,420000000,base,-3.926140479503499e-05,-0.0021286727052414398,-0.041572888669778485,0.9991332054029164,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,0.0037609460042878694,0.0035263062987503776,-0.013284407877524232,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,0.03727427827597957,0.004595170954210649,9.802212850659188,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
402.44,20112,402,440000000,base,-3.9348663235329534e-05,-0.0021286373754243098,-0.04157288105672555,0.9991332057915251,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,-0.0020501239246720833,0.0032118419948353326,-0.0038244754897726937,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,0.038578542536526164,-0.00931657880630769,9.810818468177075,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
402.46,20113,402,460000000,base,-3.9455211644894624e-05,-0.002128491958338385,-0.04157287339200996,0.9991332064160421,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,0.0065769444762533835,0.0074126053972286875,0.006088091438563231,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,0.03959157252745629,-0.00656185537145339,9.80285533282271,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
402.48,20114,402,480000000,base,-3.935431716950255e-05,-0.0021285658745224343,-0.04157286620556841,0.9991332065615723,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,0.003773220607484087,0.012481045132944027,-0.002770745314382819,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,0.047818753254888255,0.0033296271516077636,9.800654691056797,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
